image_id,dataset,species,split,width,height,aspect_ratio,area
56,LynxID2025,lynx,train,630,630,1.0,396900
57,LynxID2025,lynx,train,864,864,1.0,746496
58,LynxID2025,lynx,test,739,739,1.0,546121
59,LynxID2025,lynx,train,1135,1135,1.0,1288225
60,LynxID2025,lynx,train,793,793,1.0,628849
61,LynxID2025,lynx,test,2177,2177,1.0,4739329
62,LynxID2025,lynx,test,1116,1116,1.0,1245456
63,LynxID2025,lynx,test,1205,1205,1.0,1452025
64,LynxID2025,lynx,test,755,755,1.0,570025
65,LynxID2025,lynx,test,781,781,1.0,609961
66,LynxID2025,lynx,train,955,955,1.0,912025
67,LynxID2025,lynx,test,737,737,1.0,543169
68,LynxID2025,lynx,test,1980,1980,1.0,3920400
69,LynxID2025,lynx,train,937,937,1.0,877969
70,LynxID2025,lynx,train,1062,1062,1.0,1127844
71,LynxID2025,lynx,train,594,594,1.0,352836
72,LynxID2025,lynx,train,637,637,1.0,405769
73,LynxID2025,lynx,train,1033,1033,1.0,1067089
74,LynxID2025,lynx,test,1873,1873,1.0,3508129
75,LynxID2025,lynx,train,1745,1745,1.0,3045025
76,LynxID2025,lynx,train,1495,1495,1.0,2235025
77,LynxID2025,lynx,train,403,403,1.0,162409
78,LynxID2025,lynx,train,640,640,1.0,409600
79,LynxID2025,lynx,train,235,235,1.0,55225
80,LynxID2025,lynx,train,1429,1429,1.0,2042041
81,LynxID2025,lynx,test,936,936,1.0,876096
82,LynxID2025,lynx,train,954,954,1.0,910116
83,LynxID2025,lynx,train,835,835,1.0,697225
84,LynxID2025,lynx,test,1818,1818,1.0,3305124
85,LynxID2025,lynx,test,791,791,1.0,625681
86,LynxID2025,lynx,test,1530,1530,1.0,2340900
87,LynxID2025,lynx,train,648,648,1.0,419904
88,LynxID2025,lynx,train,2157,2157,1.0,4652649
89,LynxID2025,lynx,test,2599,2599,1.0,6754801
90,LynxID2025,lynx,test,951,951,1.0,904401
91,LynxID2025,lynx,train,872,872,1.0,760384
92,LynxID2025,lynx,train,799,799,1.0,638401
93,LynxID2025,lynx,train,719,719,1.0,516961
94,LynxID2025,lynx,test,1043,1043,1.0,1087849
95,LynxID2025,lynx,train,3205,3205,1.0,10272025
96,LynxID2025,lynx,train,595,595,1.0,354025
97,LynxID2025,lynx,test,2088,2088,1.0,4359744
98,LynxID2025,lynx,test,1999,1999,1.0,3996001
99,LynxID2025,lynx,train,989,989,1.0,978121
100,LynxID2025,lynx,train,1520,1520,1.0,2310400
101,LynxID2025,lynx,train,822,822,1.0,675684
102,LynxID2025,lynx,train,719,719,1.0,516961
103,LynxID2025,lynx,train,1252,1252,1.0,1567504
104,LynxID2025,lynx,train,702,702,1.0,492804
105,LynxID2025,lynx,train,540,540,1.0,291600
106,LynxID2025,lynx,test,1745,1745,1.0,3045025
107,LynxID2025,lynx,train,647,647,1.0,418609
108,LynxID2025,lynx,train,1207,1207,1.0,1456849
109,LynxID2025,lynx,train,341,341,1.0,116281
110,LynxID2025,lynx,train,828,828,1.0,685584
111,LynxID2025,lynx,train,611,611,1.0,373321
112,LynxID2025,lynx,train,1225,1225,1.0,1500625
113,LynxID2025,lynx,test,709,709,1.0,502681
114,LynxID2025,lynx,train,505,505,1.0,255025
115,LynxID2025,lynx,train,1285,1285,1.0,1651225
116,LynxID2025,lynx,train,1206,1206,1.0,1454436
117,LynxID2025,lynx,train,997,997,1.0,994009
118,LynxID2025,lynx,train,935,935,1.0,874225
119,LynxID2025,lynx,train,1621,1621,1.0,2627641
120,LynxID2025,lynx,train,847,847,1.0,717409
121,LynxID2025,lynx,train,986,986,1.0,972196
122,LynxID2025,lynx,train,512,512,1.0,262144
123,LynxID2025,lynx,test,721,721,1.0,519841
124,LynxID2025,lynx,test,2384,2384,1.0,5683456
125,LynxID2025,lynx,train,629,629,1.0,395641
126,LynxID2025,lynx,test,1621,1621,1.0,2627641
127,LynxID2025,lynx,train,512,512,1.0,262144
128,LynxID2025,lynx,train,774,774,1.0,599076
129,LynxID2025,lynx,train,683,683,1.0,466489
130,LynxID2025,lynx,train,1243,1243,1.0,1545049
131,LynxID2025,lynx,test,1656,1656,1.0,2742336
132,LynxID2025,lynx,train,619,619,1.0,383161
133,LynxID2025,lynx,train,1079,1079,1.0,1164241
134,LynxID2025,lynx,train,847,847,1.0,717409
135,LynxID2025,lynx,train,548,548,1.0,300304
136,LynxID2025,lynx,train,728,728,1.0,529984
137,LynxID2025,lynx,test,1124,1124,1.0,1263376
138,LynxID2025,lynx,train,604,604,1.0,364816
139,LynxID2025,lynx,test,1000,1000,1.0,1000000
140,LynxID2025,lynx,train,2484,2484,1.0,6170256
141,LynxID2025,lynx,train,1279,1279,1.0,1635841
142,LynxID2025,lynx,train,1099,1099,1.0,1207801
143,LynxID2025,lynx,train,595,595,1.0,354025
144,LynxID2025,lynx,train,1027,1027,1.0,1054729
145,LynxID2025,lynx,test,2215,2215,1.0,4906225
146,LynxID2025,lynx,train,739,739,1.0,546121
147,LynxID2025,lynx,train,1357,1357,1.0,1841449
148,LynxID2025,lynx,train,701,701,1.0,491401
149,LynxID2025,lynx,train,1188,1188,1.0,1411344
150,LynxID2025,lynx,test,1927,1927,1.0,3713329
151,LynxID2025,lynx,train,665,665,1.0,442225
152,LynxID2025,lynx,train,1285,1285,1.0,1651225
153,LynxID2025,lynx,train,1075,1075,1.0,1155625
154,LynxID2025,lynx,train,1369,1369,1.0,1874161
155,LynxID2025,lynx,train,709,709,1.0,502681
156,LynxID2025,lynx,train,559,559,1.0,312481
157,LynxID2025,lynx,train,577,577,1.0,332929
158,LynxID2025,lynx,train,1459,1459,1.0,2128681
159,LynxID2025,lynx,train,709,709,1.0,502681
160,LynxID2025,lynx,train,1206,1206,1.0,1454436
161,LynxID2025,lynx,train,2305,2305,1.0,5313025
162,LynxID2025,lynx,train,944,944,1.0,891136
163,LynxID2025,lynx,test,1764,1764,1.0,3111696
164,LynxID2025,lynx,train,1447,1447,1.0,2093809
165,LynxID2025,lynx,train,475,475,1.0,225625
166,LynxID2025,lynx,test,786,786,1.0,617796
167,LynxID2025,lynx,test,1387,1387,1.0,1923769
168,LynxID2025,lynx,test,973,973,1.0,946729
169,LynxID2025,lynx,train,919,919,1.0,844561
170,LynxID2025,lynx,train,781,781,1.0,609961
171,LynxID2025,lynx,test,2527,2527,1.0,6385729
172,LynxID2025,lynx,train,1015,1015,1.0,1030225
173,LynxID2025,lynx,test,630,630,1.0,396900
174,LynxID2025,lynx,train,774,774,1.0,599076
175,LynxID2025,lynx,train,811,811,1.0,657721
176,LynxID2025,lynx,train,1169,1169,1.0,1366561
177,LynxID2025,lynx,train,457,457,1.0,208849
178,LynxID2025,lynx,train,1495,1495,1.0,2235025
179,LynxID2025,lynx,train,1315,1315,1.0,1729225
180,LynxID2025,lynx,train,655,655,1.0,429025
181,LynxID2025,lynx,train,583,583,1.0,339889
182,LynxID2025,lynx,test,755,755,1.0,570025
183,LynxID2025,lynx,test,969,969,1.0,938961
184,LynxID2025,lynx,train,1529,1529,1.0,2337841
185,LynxID2025,lynx,train,575,575,1.0,330625
186,LynxID2025,lynx,test,1639,1639,1.0,2686321
187,LynxID2025,lynx,train,1069,1069,1.0,1142761
188,LynxID2025,lynx,test,2051,2051,1.0,4206601
189,LynxID2025,lynx,train,1099,1099,1.0,1207801
190,LynxID2025,lynx,test,1915,1915,1.0,3667225
191,LynxID2025,lynx,train,991,991,1.0,982081
192,LynxID2025,lynx,test,3787,3787,1.0,14341369
193,LynxID2025,lynx,train,719,719,1.0,516961
194,LynxID2025,lynx,train,1027,1027,1.0,1054729
195,LynxID2025,lynx,test,918,918,1.0,842724
196,LynxID2025,lynx,train,1321,1321,1.0,1745041
197,LynxID2025,lynx,train,3527,3527,1.0,12439729
198,LynxID2025,lynx,train,1458,1458,1.0,2125764
199,LynxID2025,lynx,train,1160,1160,1.0,1345600
200,LynxID2025,lynx,train,1727,1727,1.0,2982529
201,LynxID2025,lynx,train,541,541,1.0,292681
202,LynxID2025,lynx,test,2051,2051,1.0,4206601
203,LynxID2025,lynx,test,601,601,1.0,361201
204,LynxID2025,lynx,train,1141,1141,1.0,1301881
205,LynxID2025,lynx,test,649,649,1.0,421201
206,LynxID2025,lynx,train,979,979,1.0,958441
207,LynxID2025,lynx,train,703,703,1.0,494209
208,LynxID2025,lynx,train,1224,1224,1.0,1498176
209,LynxID2025,lynx,test,919,919,1.0,844561
210,LynxID2025,lynx,test,1404,1404,1.0,1971216
211,LynxID2025,lynx,train,871,871,1.0,758641
212,LynxID2025,lynx,train,575,575,1.0,330625
213,LynxID2025,lynx,test,936,936,1.0,876096
214,LynxID2025,lynx,train,1638,1638,1.0,2683044
215,LynxID2025,lynx,train,972,972,1.0,944784
216,LynxID2025,lynx,test,2897,2897,1.0,8392609
217,LynxID2025,lynx,train,1529,1529,1.0,2337841
218,LynxID2025,lynx,train,431,431,1.0,185761
219,LynxID2025,lynx,test,811,811,1.0,657721
220,LynxID2025,lynx,train,799,799,1.0,638401
221,LynxID2025,lynx,test,523,523,1.0,273529
222,LynxID2025,lynx,train,799,799,1.0,638401
223,LynxID2025,lynx,train,792,792,1.0,627264
224,LynxID2025,lynx,train,3474,3474,1.0,12068676
225,LynxID2025,lynx,train,1207,1207,1.0,1456849
226,LynxID2025,lynx,train,665,665,1.0,442225
227,LynxID2025,lynx,train,781,781,1.0,609961
228,LynxID2025,lynx,test,187,187,1.0,34969
229,LynxID2025,lynx,train,1098,1098,1.0,1205604
230,LynxID2025,lynx,train,601,601,1.0,361201
231,LynxID2025,lynx,test,1530,1530,1.0,2340900
232,LynxID2025,lynx,train,521,521,1.0,271441
233,LynxID2025,lynx,train,421,421,1.0,177241
234,LynxID2025,lynx,train,619,619,1.0,383161
235,LynxID2025,lynx,train,629,629,1.0,395641
236,LynxID2025,lynx,train,1285,1285,1.0,1651225
237,LynxID2025,lynx,train,1108,1108,1.0,1227664
238,LynxID2025,lynx,train,504,504,1.0,254016
239,LynxID2025,lynx,train,793,793,1.0,628849
240,LynxID2025,lynx,test,756,756,1.0,571536
241,LynxID2025,lynx,train,1530,1530,1.0,2340900
242,LynxID2025,lynx,test,1033,1033,1.0,1067089
243,LynxID2025,lynx,train,557,557,1.0,310249
244,LynxID2025,lynx,train,775,775,1.0,600625
245,LynxID2025,lynx,test,1537,1537,1.0,2362369
246,LynxID2025,lynx,train,656,656,1.0,430336
247,LynxID2025,lynx,train,1063,1063,1.0,1129969
248,LynxID2025,lynx,train,1357,1357,1.0,1841449
249,LynxID2025,lynx,train,1627,1627,1.0,2647129
250,LynxID2025,lynx,train,1710,1710,1.0,2924100
251,LynxID2025,lynx,train,1746,1746,1.0,3048516
252,LynxID2025,lynx,train,1135,1135,1.0,1288225
253,LynxID2025,lynx,train,973,973,1.0,946729
254,LynxID2025,lynx,train,604,604,1.0,364816
255,LynxID2025,lynx,train,1261,1261,1.0,1590121
256,LynxID2025,lynx,train,260,260,1.0,67600
257,LynxID2025,lynx,train,313,313,1.0,97969
258,LynxID2025,lynx,train,2035,2035,1.0,4141225
259,LynxID2025,lynx,train,655,655,1.0,429025
260,LynxID2025,lynx,train,1471,1471,1.0,2163841
261,LynxID2025,lynx,train,439,439,1.0,192721
262,LynxID2025,lynx,train,1350,1350,1.0,1822500
263,LynxID2025,lynx,train,1243,1243,1.0,1545049
264,LynxID2025,lynx,test,1297,1297,1.0,1682209
265,LynxID2025,lynx,train,1620,1620,1.0,2624400
266,LynxID2025,lynx,test,2620,2620,1.0,6864400
267,LynxID2025,lynx,train,800,800,1.0,640000
268,LynxID2025,lynx,train,773,773,1.0,597529
269,LynxID2025,lynx,train,1134,1134,1.0,1285956
270,LynxID2025,lynx,train,541,541,1.0,292681
271,LynxID2025,lynx,train,1556,1556,1.0,2421136
272,LynxID2025,lynx,train,987,987,1.0,974169
273,LynxID2025,lynx,test,1439,1439,1.0,2070721
274,LynxID2025,lynx,train,673,673,1.0,452929
275,LynxID2025,lynx,train,901,901,1.0,811801
276,LynxID2025,lynx,test,1135,1135,1.0,1288225
277,LynxID2025,lynx,train,1016,1016,1.0,1032256
278,LynxID2025,lynx,train,424,424,1.0,179776
279,LynxID2025,lynx,train,953,953,1.0,908209
280,LynxID2025,lynx,test,1656,1656,1.0,2742336
281,LynxID2025,lynx,train,889,889,1.0,790321
282,LynxID2025,lynx,test,2430,2430,1.0,5904900
283,LynxID2025,lynx,train,313,313,1.0,97969
284,LynxID2025,lynx,train,505,505,1.0,255025
285,LynxID2025,lynx,train,972,972,1.0,944784
286,LynxID2025,lynx,test,961,961,1.0,923521
287,LynxID2025,lynx,train,655,655,1.0,429025
288,LynxID2025,lynx,train,1387,1387,1.0,1923769
289,LynxID2025,lynx,test,619,619,1.0,383161
290,LynxID2025,lynx,train,755,755,1.0,570025
291,LynxID2025,lynx,train,493,493,1.0,243049
292,LynxID2025,lynx,train,1080,1080,1.0,1166400
293,LynxID2025,lynx,test,899,899,1.0,808201
294,LynxID2025,lynx,test,709,709,1.0,502681
295,LynxID2025,lynx,train,671,671,1.0,450241
296,LynxID2025,lynx,test,918,918,1.0,842724
297,LynxID2025,lynx,train,631,631,1.0,398161
298,LynxID2025,lynx,train,1225,1225,1.0,1500625
299,LynxID2025,lynx,train,919,919,1.0,844561
300,LynxID2025,lynx,train,1117,1117,1.0,1247689
301,LynxID2025,lynx,train,1709,1709,1.0,2920681
302,LynxID2025,lynx,train,379,379,1.0,143641
303,LynxID2025,lynx,train,593,593,1.0,351649
304,LynxID2025,lynx,train,720,720,1.0,518400
305,LynxID2025,lynx,train,1260,1260,1.0,1587600
306,LynxID2025,lynx,train,791,791,1.0,625681
307,LynxID2025,lynx,train,504,504,1.0,254016
308,LynxID2025,lynx,train,1189,1189,1.0,1413721
309,LynxID2025,lynx,train,601,601,1.0,361201
310,LynxID2025,lynx,train,1504,1504,1.0,2262016
311,LynxID2025,lynx,test,755,755,1.0,570025
312,LynxID2025,lynx,test,1556,1556,1.0,2421136
313,LynxID2025,lynx,train,612,612,1.0,374544
314,LynxID2025,lynx,train,1195,1195,1.0,1428025
315,LynxID2025,lynx,test,2394,2394,1.0,5731236
316,LynxID2025,lynx,train,2161,2161,1.0,4669921
317,LynxID2025,lynx,train,1547,1547,1.0,2393209
318,LynxID2025,lynx,train,817,817,1.0,667489
319,LynxID2025,lynx,train,703,703,1.0,494209
320,LynxID2025,lynx,train,1016,1016,1.0,1032256
321,LynxID2025,lynx,train,1458,1458,1.0,2125764
322,LynxID2025,lynx,train,853,853,1.0,727609
323,LynxID2025,lynx,train,1243,1243,1.0,1545049
324,LynxID2025,lynx,train,532,532,1.0,283024
325,LynxID2025,lynx,train,1313,1313,1.0,1723969
326,LynxID2025,lynx,train,767,767,1.0,588289
327,LynxID2025,lynx,train,1045,1045,1.0,1092025
328,LynxID2025,lynx,train,1853,1853,1.0,3433609
329,LynxID2025,lynx,train,811,811,1.0,657721
330,LynxID2025,lynx,train,973,973,1.0,946729
331,LynxID2025,lynx,train,475,475,1.0,225625
332,LynxID2025,lynx,train,907,907,1.0,822649
333,LynxID2025,lynx,train,727,727,1.0,528529
334,LynxID2025,lynx,train,619,619,1.0,383161
335,LynxID2025,lynx,train,431,431,1.0,185761
336,LynxID2025,lynx,train,2167,2167,1.0,4695889
337,LynxID2025,lynx,train,1285,1285,1.0,1651225
338,LynxID2025,lynx,test,541,541,1.0,292681
339,LynxID2025,lynx,train,1852,1852,1.0,3429904
340,LynxID2025,lynx,train,793,793,1.0,628849
341,LynxID2025,lynx,train,1062,1062,1.0,1127844
342,LynxID2025,lynx,train,809,809,1.0,654481
343,LynxID2025,lynx,train,799,799,1.0,638401
344,LynxID2025,lynx,train,701,701,1.0,491401
345,LynxID2025,lynx,train,755,755,1.0,570025
346,LynxID2025,lynx,train,749,749,1.0,561001
347,LynxID2025,lynx,test,631,631,1.0,398161
348,LynxID2025,lynx,train,1069,1069,1.0,1142761
349,LynxID2025,lynx,train,2467,2467,1.0,6086089
350,LynxID2025,lynx,train,1315,1315,1.0,1729225
351,LynxID2025,lynx,train,883,883,1.0,779689
352,LynxID2025,lynx,train,1351,1351,1.0,1825201
353,LynxID2025,lynx,train,540,540,1.0,291600
354,LynxID2025,lynx,train,224,224,1.0,50176
355,LynxID2025,lynx,train,1315,1315,1.0,1729225
356,LynxID2025,lynx,train,612,612,1.0,374544
357,LynxID2025,lynx,test,763,763,1.0,582169
358,LynxID2025,lynx,train,972,972,1.0,944784
359,LynxID2025,lynx,test,1171,1171,1.0,1371241
360,LynxID2025,lynx,train,772,772,1.0,595984
361,LynxID2025,lynx,test,969,969,1.0,938961
362,LynxID2025,lynx,train,1153,1153,1.0,1329409
363,LynxID2025,lynx,train,757,757,1.0,573049
364,LynxID2025,lynx,train,773,773,1.0,597529
365,LynxID2025,lynx,train,631,631,1.0,398161
366,LynxID2025,lynx,test,944,944,1.0,891136
367,LynxID2025,lynx,train,955,955,1.0,912025
368,LynxID2025,lynx,test,1547,1547,1.0,2393209
369,LynxID2025,lynx,train,1151,1151,1.0,1324801
370,LynxID2025,lynx,train,1241,1241,1.0,1540081
371,LynxID2025,lynx,train,809,809,1.0,654481
372,LynxID2025,lynx,train,1045,1045,1.0,1092025
373,LynxID2025,lynx,test,503,503,1.0,253009
374,LynxID2025,lynx,train,199,199,1.0,39601
375,LynxID2025,lynx,test,2683,2683,1.0,7198489
376,LynxID2025,lynx,train,955,955,1.0,912025
377,LynxID2025,lynx,train,1207,1207,1.0,1456849
378,LynxID2025,lynx,test,792,792,1.0,627264
379,LynxID2025,lynx,train,1061,1061,1.0,1125721
380,LynxID2025,lynx,test,1016,1016,1.0,1032256
381,LynxID2025,lynx,train,955,955,1.0,912025
382,LynxID2025,lynx,train,2521,2521,1.0,6355441
383,LynxID2025,lynx,train,665,665,1.0,442225
384,LynxID2025,lynx,train,788,788,1.0,620944
385,LynxID2025,lynx,train,1206,1206,1.0,1454436
386,LynxID2025,lynx,train,619,619,1.0,383161
387,LynxID2025,lynx,train,757,757,1.0,573049
388,LynxID2025,lynx,train,1261,1261,1.0,1590121
389,LynxID2025,lynx,train,1124,1124,1.0,1263376
390,LynxID2025,lynx,train,757,757,1.0,573049
391,LynxID2025,lynx,train,845,845,1.0,714025
392,LynxID2025,lynx,train,1259,1259,1.0,1585081
393,LynxID2025,lynx,train,1072,1072,1.0,1149184
394,LynxID2025,lynx,train,511,511,1.0,261121
395,LynxID2025,lynx,train,1386,1386,1.0,1920996
396,LynxID2025,lynx,train,1203,1203,1.0,1447209
397,LynxID2025,lynx,test,1567,1567,1.0,2455489
398,LynxID2025,lynx,train,691,691,1.0,477481
399,LynxID2025,lynx,train,1134,1134,1.0,1285956
400,LynxID2025,lynx,train,576,576,1.0,331776
401,LynxID2025,lynx,train,1052,1052,1.0,1106704
402,LynxID2025,lynx,train,697,697,1.0,485809
403,LynxID2025,lynx,train,1987,1987,1.0,3948169
404,LynxID2025,lynx,train,1063,1063,1.0,1129969
405,LynxID2025,lynx,train,792,792,1.0,627264
406,LynxID2025,lynx,train,3797,3797,1.0,14417209
407,LynxID2025,lynx,train,4049,4049,1.0,16394401
408,LynxID2025,lynx,train,1207,1207,1.0,1456849
409,LynxID2025,lynx,train,737,737,1.0,543169
410,LynxID2025,lynx,train,721,721,1.0,519841
411,LynxID2025,lynx,test,1009,1009,1.0,1018081
412,LynxID2025,lynx,train,1063,1063,1.0,1129969
413,LynxID2025,lynx,train,948,948,1.0,898704
414,LynxID2025,lynx,train,647,647,1.0,418609
415,LynxID2025,lynx,test,1873,1873,1.0,3508129
416,LynxID2025,lynx,train,757,757,1.0,573049
417,LynxID2025,lynx,train,1117,1117,1.0,1247689
418,LynxID2025,lynx,train,2322,2322,1.0,5391684
419,LynxID2025,lynx,train,1519,1519,1.0,2307361
420,LynxID2025,lynx,train,907,907,1.0,822649
421,LynxID2025,lynx,train,882,882,1.0,777924
422,LynxID2025,lynx,test,2717,2717,1.0,7382089
423,LynxID2025,lynx,test,1812,1812,1.0,3283344
424,LynxID2025,lynx,test,342,342,1.0,116964
425,LynxID2025,lynx,train,1277,1277,1.0,1630729
426,LynxID2025,lynx,train,936,936,1.0,876096
427,LynxID2025,lynx,test,680,680,1.0,462400
428,LynxID2025,lynx,train,1063,1063,1.0,1129969
429,LynxID2025,lynx,test,577,577,1.0,332929
430,LynxID2025,lynx,train,1368,1368,1.0,1871424
431,LynxID2025,lynx,test,793,793,1.0,628849
432,LynxID2025,lynx,test,2095,2095,1.0,4389025
433,LynxID2025,lynx,train,2250,2250,1.0,5062500
434,LynxID2025,lynx,train,619,619,1.0,383161
435,LynxID2025,lynx,train,601,601,1.0,361201
436,LynxID2025,lynx,train,613,613,1.0,375769
437,LynxID2025,lynx,test,2249,2249,1.0,5058001
438,LynxID2025,lynx,train,1357,1357,1.0,1841449
439,LynxID2025,lynx,test,1960,1960,1.0,3841600
440,LynxID2025,lynx,train,1375,1375,1.0,1890625
441,LynxID2025,lynx,train,703,703,1.0,494209
442,LynxID2025,lynx,train,1043,1043,1.0,1087849
443,LynxID2025,lynx,test,1009,1009,1.0,1018081
444,LynxID2025,lynx,train,306,306,1.0,93636
445,LynxID2025,lynx,train,1152,1152,1.0,1327104
446,LynxID2025,lynx,train,588,588,1.0,345744
447,LynxID2025,lynx,train,768,768,1.0,589824
448,LynxID2025,lynx,train,691,691,1.0,477481
449,LynxID2025,lynx,train,1260,1260,1.0,1587600
450,LynxID2025,lynx,train,521,521,1.0,271441
451,LynxID2025,lynx,train,1151,1151,1.0,1324801
452,LynxID2025,lynx,train,738,738,1.0,544644
453,LynxID2025,lynx,train,1495,1495,1.0,2235025
454,LynxID2025,lynx,test,739,739,1.0,546121
455,LynxID2025,lynx,train,1285,1285,1.0,1651225
456,LynxID2025,lynx,train,1099,1099,1.0,1207801
457,LynxID2025,lynx,train,1203,1203,1.0,1447209
458,LynxID2025,lynx,train,611,611,1.0,373321
459,LynxID2025,lynx,test,2123,2123,1.0,4507129
460,LynxID2025,lynx,train,1223,1223,1.0,1495729
461,LynxID2025,lynx,train,864,864,1.0,746496
462,LynxID2025,lynx,train,2852,2852,1.0,8133904
463,LynxID2025,lynx,train,1051,1051,1.0,1104601
464,LynxID2025,lynx,train,849,849,1.0,720801
465,LynxID2025,lynx,test,1998,1998,1.0,3992004
466,LynxID2025,lynx,train,1727,1727,1.0,2982529
467,LynxID2025,lynx,train,1303,1303,1.0,1697809
468,LynxID2025,lynx,train,827,827,1.0,683929
469,LynxID2025,lynx,test,817,817,1.0,667489
470,LynxID2025,lynx,test,1603,1603,1.0,2569609
471,LynxID2025,lynx,train,1476,1476,1.0,2178576
472,LynxID2025,lynx,train,728,728,1.0,529984
473,LynxID2025,lynx,train,234,234,1.0,54756
474,LynxID2025,lynx,test,1547,1547,1.0,2393209
475,LynxID2025,lynx,test,1801,1801,1.0,3243601
476,LynxID2025,lynx,train,1639,1639,1.0,2686321
477,LynxID2025,lynx,train,619,619,1.0,383161
478,LynxID2025,lynx,test,2143,2143,1.0,4592449
479,LynxID2025,lynx,test,647,647,1.0,418609
480,LynxID2025,lynx,test,1837,1837,1.0,3374569
481,LynxID2025,lynx,test,1259,1259,1.0,1585081
482,LynxID2025,lynx,test,829,829,1.0,687241
483,LynxID2025,lynx,train,738,738,1.0,544644
484,LynxID2025,lynx,train,807,807,1.0,651249
485,LynxID2025,lynx,train,1648,1648,1.0,2715904
486,LynxID2025,lynx,train,253,253,1.0,64009
487,LynxID2025,lynx,train,1117,1117,1.0,1247689
488,LynxID2025,lynx,train,810,810,1.0,656100
489,LynxID2025,lynx,train,935,935,1.0,874225
490,LynxID2025,lynx,train,709,709,1.0,502681
491,LynxID2025,lynx,test,755,755,1.0,570025
492,LynxID2025,lynx,train,3024,3024,1.0,9144576
493,LynxID2025,lynx,train,1332,1332,1.0,1774224
494,LynxID2025,lynx,test,683,683,1.0,466489
495,LynxID2025,lynx,train,2341,2341,1.0,5480281
496,LynxID2025,lynx,train,1296,1296,1.0,1679616
497,LynxID2025,lynx,train,1061,1061,1.0,1125721
498,LynxID2025,lynx,train,1987,1987,1.0,3948169
499,LynxID2025,lynx,train,1007,1007,1.0,1014049
500,LynxID2025,lynx,test,936,936,1.0,876096
501,LynxID2025,lynx,test,763,763,1.0,582169
502,LynxID2025,lynx,train,1529,1529,1.0,2337841
503,LynxID2025,lynx,train,991,991,1.0,982081
504,LynxID2025,lynx,train,1441,1441,1.0,2076481
505,LynxID2025,lynx,train,2682,2682,1.0,7193124
506,LynxID2025,lynx,train,647,647,1.0,418609
507,LynxID2025,lynx,test,2448,2448,1.0,5992704
